"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde","Pressure","Temperature","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
108, 4.717997108570087e-01, 5.597209445238055e-02, 8.648607117663238e-01, 8.449065424880606e-01, 7.756664221737433e-02, 2.499999164708645e+00, 1.365285932627936e-06, 8.335257725200345e-01, 9.637688025135362e-01, 8.445678326429116e-01, -3.908946827274478e-01, 4.814188657710495e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 4.627228292621192e-08
109, 4.650297674255558e-01, 5.534184791584272e-02, 8.649949034689689e-01, 8.387510315060187e-01, 7.895865181123150e-02, 2.498882745382627e+00, 1.348919818919545e-06, 8.354509147293263e-01, 9.658448984830320e-01, 8.375634066352210e-01, -3.863742962117818e-01, 4.821706217487701e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 4.363236510397843e-08
110, 4.582289069903420e-01, 5.469134909317318e-02, 8.668178811391591e-01, 8.367142591088346e-01, 8.075426728867796e-02, 2.503131076665983e+00, 1.357097905207223e-06, 8.382165684728818e-01, 9.670042424266906e-01, 8.334593751309201e-01, -3.798803219853435e-01, 4.825900586424683e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 4.485488411411818e-08
111, 4.513969677145419e-01, 5.402117055515327e-02, 8.696190015189866e-01, 8.341263265676236e-01, 8.285603163862072e-02, 2.510399259885583e+00, 1.353001905643684e-06, 8.425643732577344e-01, 9.688891017629615e-01, 8.276254601665219e-01, -3.696713316949976e-01, 4.832714252454528e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 4.478212067366064e-08
112, 4.445337783615236e-01, 5.333190770335464e-02, 8.710307909553157e-01, 8.370483116474308e-01, 8.442343817397663e-02, 2.516106117799751e+00, 1.371494450734701e-06, 8.439275968311599e-01, 9.688837703493469e-01, 8.293062072003468e-01, -3.664703746802856e-01, 4.832694989325367e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 4.724413614979155e-08
113, 4.376391587830687e-01, 5.262417888495443e-02, 8.728190331503376e-01, 8.326152375994563e-01, 8.663630030504593e-02, 2.520452439333660e+00, 1.357443845359939e-06, 8.476084043760185e-01, 9.711158581369103e-01, 8.225438095823975e-01, -3.578275467830879e-01, 4.840755052848454e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 4.661120214859079e-08
114, 4.307129220915055e-01, 5.189862562472318e-02, 8.768250181792895e-01, 8.292637533660993e-01, 8.752736427479250e-02, 2.529727563752586e+00, 1.369770878525998e-06, 8.532871084760429e-01, 9.731555222362125e-01, 8.147612139553478e-01, -3.444934993987908e-01, 4.848111918787889e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 4.842538765647465e-08
115, 4.237548744261742e-01, 5.115591216901608e-02, 8.838177867539397e-01, 8.275152034267912e-01, 8.950692095557189e-02, 2.548720286009407e+00, 1.381630423476939e-06, 8.627153245403902e-01, 9.761235149033897e-01, 8.056057763348815e-01, -3.223553006941151e-01, 4.858802966500449e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 5.181753054915875e-08
116, 4.167648125665759e-01, 5.039672514217054e-02, 8.899872044293008e-01, 8.288445272510270e-01, 9.054663598297893e-02, 2.564917045938672e+00, 1.394408242899679e-06, 8.697439108590413e-01, 9.772543993110099e-01, 8.009356856242221e-01, -3.058516228537583e-01, 4.862872122363995e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 5.402264607745817e-08
117, 4.097425263553068e-01, 4.962177356684658e-02, 8.905951455863487e-01, 8.282392662018289e-01, 9.141659106713601e-02, 2.568177601138797e+00, 1.411032936426136e-06, 8.713444606528086e-01, 9.783844712954662e-01, 7.994404584618381e-01, -3.020934050605602e-01, 4.866935925155561e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 5.655056472460878e-08
