"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
175, 2.468175557558007e-01, -5.525277245252510e-02, 9.388007857173680e-01, 9.435014358900011e-01, -6.437667460542558e-02, 2.768801022784634e+00, 9.169923802996566e-01, 9.767699327168257e-01, 8.614251714752847e-01, -1.949084711663931e-01
176, 2.545495700446684e-01, -5.576488643024595e-02, 9.348046253117969e-01, 9.451788935733787e-01, -6.073087792865166e-02, 2.758588209540668e+00, 9.115125320238535e-01, 9.750834637984654e-01, 8.671673012124581e-01, -2.077755893118872e-01
177, 2.622467762759384e-01, -5.624416675938085e-02, 9.307167468273705e-01, 9.468193198244442e-01, -5.707874843633821e-02, 2.748132100361103e+00, 9.059126405653820e-01, 9.733494574514312e-01, 8.730495761211243e-01, -2.209245783662488e-01
178, 2.699092138582065e-01, -5.669085687996043e-02, 9.264857237467992e-01, 9.484260894674812e-01, -5.337492408022054e-02, 2.737300432456383e+00, 9.001279799514694e-01, 9.715508365431293e-01, 8.791330901510643e-01, -2.345074200444506e-01
179, 2.775369506396272e-01, -5.710467827081576e-02, 9.220903455645718e-01, 9.499919822271458e-01, -4.956190268013847e-02, 2.726031203628168e+00, 8.941321163338849e-01, 9.696795120291939e-01, 8.854388341407389e-01, -2.485861831175805e-01
180, 2.851300684092387e-01, -5.748495874454008e-02, 9.175525076495338e-01, 9.515060242595047e-01, -4.560178580742960e-02, 2.714383510695038e+00, 8.879569338840702e-01, 9.677450897700909e-01, 8.919372497356454e-01, -2.630860010235980e-01
181, 2.926886456763016e-01, -5.783085267351637e-02, 9.129112612533419e-01, 9.529570882540882e-01, -4.146755193961095e-02, 2.702454903725512e+00, 8.816533282409140e-01, 9.657601627462524e-01, 8.985803207101641e-01, -2.778873667678361e-01
182, 3.002127563743532e-01, -5.814129213932331e-02, 9.082065360659148e-01, 9.543266626138862e-01, -3.713635419815065e-02, 2.690350132210809e+00, 8.752785854630648e-01, 9.637439841101736e-01, 9.053075626244095e-01, -2.928557681434565e-01
183, 3.077024606396577e-01, -5.841511145015554e-02, 9.034917644017137e-01, 9.556077127614581e-01, -3.259565758918364e-02, 2.678206357669934e+00, 8.689013784342782e-01, 9.617147744668806e-01, 9.120544919608917e-01, -3.078299557756220e-01
184, 3.151578008001206e-01, -5.865108367289876e-02, 8.988235034057014e-01, 9.567793922016188e-01, -2.783491399511751e-02, 2.666169467060653e+00, 8.626009354775244e-01, 9.597000214269795e-01, 9.187330286837908e-01, -3.226238952814777e-01
185, 3.225787996210685e-01, -5.884791518623130e-02, 8.942811518451386e-01, 9.578292285858528e-01, -2.284727030158826e-02, 2.654443968273331e+00, 8.564822331582104e-01, 9.577326228905316e-01, 9.252335359903749e-01, -3.369910933638342e-01
186, 3.299654563928694e-01, -5.900430926960359e-02, 8.899642350987138e-01, 9.587317025127383e-01, -1.764479671466350e-02, 2.643286242455339e+00, 8.506819650237947e-01, 9.558608441489089e-01, 9.314010435734610e-01, -3.506105827374035e-01
187, 3.373177425013413e-01, -5.911918819989632e-02, 8.859887208199843e-01, 9.594891285343377e-01, -1.226199071505943e-02, 2.633000842773131e+00, 8.453489903472520e-01, 9.541306457771606e-01, 9.370858640766455e-01, -3.631328300289944e-01
188, 3.446356043737089e-01, -5.919180058973246e-02, 8.824439201760204e-01, 9.601012282976100e-01, -6.740180591065384e-03, 2.623823016519344e+00, 8.406003948076404e-01, 9.525822271402431e-01, 9.421615069919119e-01, -3.742829087826611e-01
189, 3.519189697783634e-01, -5.922170498637860e-02, 8.793960769584801e-01, 9.605788898442658e-01, -1.110320713900823e-03, 2.615927538113830e+00, 8.365194908635112e-01, 9.512431460426070e-01, 9.465400973022390e-01, -3.838651947414504e-01
190, 3.591677548405193e-01, -5.920861012302098e-02, 8.768950086922036e-01, 9.609217950451364e-01, 4.607884308710964e-03, 2.609445230891213e+00, 8.331731921945575e-01, 9.501401923100777e-01, 9.501399440182864e-01, -3.917225692811180e-01
191, 3.663818672696395e-01, -5.915236384490788e-02, 8.750032729703051e-01, 9.611408545222696e-01, 1.039307190291199e-02, 2.604541106979340e+00, 8.306401451216512e-01, 9.492994721059068e-01, 9.528775866054535e-01, -3.976703646058724e-01
192, 3.735612096958500e-01, -5.905297992250565e-02, 8.737791416538939e-01, 9.612299202379542e-01, 1.622491308412519e-02, 2.601365710605293e+00, 8.289994154038722e-01, 9.487516649055477e-01, 9.546565859209767e-01, -4.015229280457591e-01
193, 3.807056829020605e-01, -5.891059409302885e-02, 8.732874215822304e-01, 9.612037194174878e-01, 2.207591918174878e-02, 2.600094529720060e+00, 8.283320404353913e-01, 9.485216664802196e-01, 9.553997052724671e-01, -4.030899773753376e-01
194, 3.878151929905138e-01, -5.872561791733329e-02, 8.735600552411602e-01, 9.610507066395965e-01, 2.790347570597072e-02, 2.600804481089032e+00, 8.286827507594804e-01, 9.486271101655503e-01, 9.550469632497254e-01, -4.022664817331636e-01
195, 3.948896589957897e-01, -5.849878287310906e-02, 8.745901061781934e-01, 9.607970686715520e-01, 3.367502522469305e-02, 2.603488574796041e+00, 8.300358437619691e-01, 9.490569786903734e-01, 9.536379725407843e-01, -3.990893121020732e-01
196, 4.019290138664661e-01, -5.823095534895759e-02, 8.763070746646141e-01, 9.604312959374691e-01, 3.936950522946048e-02, 2.607956043708171e+00, 8.323024054710932e-01, 9.497839621911502e-01, 9.512575533377124e-01, -3.937672455360826e-01
197, 4.089332075176368e-01, -5.792313323698916e-02, 8.786336583314264e-01, 9.599463658030261e-01, 4.496537037714218e-02, 2.614000990627016e+00, 8.353833391202147e-01, 9.507754809969988e-01, 9.480081164777758e-01, -3.865329690987729e-01
198, 4.159022092014675e-01, -5.757643809411156e-02, 8.814877541559835e-01, 9.593541199171881e-01, 5.044548171804067e-02, 2.621414003822140e+00, 8.391684613697118e-01, 9.519910599021401e-01, 9.440212722995147e-01, -3.776452020059367e-01
199, 4.228360093722412e-01, -5.719209544420614e-02, 8.847872362978859e-01, 9.586428423532330e-01, 5.579270685059776e-02, 2.629974664630941e+00, 8.435535576635109e-01, 9.533970688739766e-01, 9.394016957676885e-01, -3.673486482964430e-01
200, 4.297346198058632e-01, -5.677140391328082e-02, 8.884726586263889e-01, 9.577934306840109e-01, 6.099100081600223e-02, 2.639520134138849e+00, 8.484661283641027e-01, 9.549715684845747e-01, 9.342159827656815e-01, -3.558135428662941e-01
201, 4.365980760923819e-01, -5.631575306866481e-02, 8.925097290909138e-01, 9.568412639799712e-01, 6.602237872077642e-02, 2.649980932014592e+00, 8.538536319130674e-01, 9.566883184374692e-01, 9.285580914998879e-01, -3.431632574596898e-01
202, 4.434264433385953e-01, -5.582668104082192e-02, 8.968323175528424e-01, 9.557675995344046e-01, 7.086848969612088e-02, 2.661169809675071e+00, 8.596327436084854e-01, 9.585211491420578e-01, 9.225008686533478e-01, -3.295934450819824e-01
203, 4.502198092662784e-01, -5.530575167757688e-02, 9.013645985798679e-01, 9.545522274353974e-01, 7.551857200576068e-02, 2.672879859147646e+00, 8.657108475556092e-01, 9.604446956531990e-01, 9.161232354080023e-01, -3.153215751958083e-01
204, 4.569782833974688e-01, -5.475454442824344e-02, 9.060436345838563e-01, 9.532644073063375e-01, 7.997200708665146e-02, 2.684973239244337e+00, 8.719883065125111e-01, 9.624131479197613e-01, 9.095831404446070e-01, -3.005816039435731e-01
205, 4.637019999671004e-01, -5.417469229613731e-02, 9.107810370326394e-01, 9.518402243442702e-01, 8.421481949485426e-02, 2.697183130523779e+00, 8.783657951203321e-01, 9.644094018273399e-01, 9.029184787844489e-01, -2.856067551415140e-01
206, 4.703911137140167e-01, -5.356783308461618e-02, 9.155748618431344e-01, 9.502761091706989e-01, 8.824063909023146e-02, 2.709506756408915e+00, 8.848433095076860e-01, 9.664346918900951e-01, 8.961279484394539e-01, -2.703970378799523e-01
207, 4.770457570055289e-01, -5.293560288774533e-02, 9.204589190378931e-01, 9.486962851372106e-01, 9.206327015973638e-02, 2.722096816762793e+00, 8.914371331401909e-01, 9.684703083457138e-01, 8.893054442922312e-01, -2.549142172908077e-01
208, 4.836654526081351e-01, -5.227970398520395e-02, 9.253896842708261e-01, 9.469355995503933e-01, 9.565539316993454e-02, 2.734757206893678e+00, 8.981287133810045e-01, 9.705410905770986e-01, 8.823266334153703e-01, -2.392018564360748e-01
209, 4.902511289904734e-01, -5.160170357293065e-02, 9.303985487232110e-01, 9.451313628424930e-01, 9.902653564136585e-02, 2.747637831690696e+00, 9.049276699821591e-01, 9.726236903787031e-01, 8.753012315392140e-01, -2.232373673754131e-01
210, 4.968030122761619e-01, -5.090322802014149e-02, 9.353687758956530e-01, 9.433161393253965e-01, 1.021869392025947e-01, 2.760429620891771e+00, 9.116729040994972e-01, 9.746668133395129e-01, 8.683916456622294e-01, -2.073990229653960e-01
211, 5.033213417459780e-01, -5.018587837829275e-02, 9.401913542502740e-01, 9.413137553420537e-01, 1.051056490642466e-01, 2.772753774141329e+00, 9.182640212227527e-01, 9.766777976330079e-01, 8.615273046967827e-01, -1.919225574745170e-01
212, 5.098063702692184e-01, -4.945124456838161e-02, 9.449222255558071e-01, 9.393420253411447e-01, 1.078179767312044e-01, 2.784861517709833e+00, 9.247251914537066e-01, 9.786257180158712e-01, 8.548649052046597e-01, -1.767512175878028e-01
213, 5.162583634103305e-01, -4.870090690924370e-02, 9.495408066456569e-01, 9.373248917031780e-01, 1.103172903840707e-01, 2.796667182041725e+00, 9.310503215468796e-01, 9.805269189387482e-01, 8.483400713843148e-01, -1.618993107286570e-01
214, 5.226775946497436e-01, -4.793640380904274e-02, 9.541207152820984e-01, 9.351780360485391e-01, 1.125891600985623e-01, 2.808327389353934e+00, 9.373514955184549e-01, 9.824244254473760e-01, 8.417870445008968e-01, -1.471036547420521e-01
215, 5.290643362988189e-01, -4.715917029802898e-02, 9.587054451334375e-01, 9.331227531304648e-01, 1.146867533578953e-01, 2.820069377810295e+00, 9.436392868064813e-01, 9.842848933387885e-01, 8.353814957598501e-01, -1.323394223572807e-01
216, 5.354188512746078e-01, -4.637048399490430e-02, 9.631675680307971e-01, 9.310020319283703e-01, 1.166028157775992e-01, 2.831465303096381e+00, 9.497807550026597e-01, 9.861012626748772e-01, 8.290939990564927e-01, -1.179187681913693e-01
217, 5.417413956413227e-01, -4.557150459411246e-02, 9.674885759462584e-01, 9.288279427716626e-01, 1.183470723211117e-01, 2.842464056681817e+00, 9.557478492048735e-01, 9.878647386302193e-01, 8.229504342410348e-01, -1.039075579861146e-01
218, 5.480322223030890e-01, -4.476331359324471e-02, 9.716519353875303e-01, 9.267348872501430e-01, 1.199576773944889e-01, 2.853081052542092e+00, 9.614916385803483e-01, 9.895432752849613e-01, 8.170930986420382e-01, -9.042068521567524e-02
219, 5.542915849795054e-01, -4.394695457481591e-02, 9.756422791987152e-01, 9.245618421805326e-01, 1.214136990096329e-01, 2.863202872735810e+00, 9.670281346723535e-01, 9.911707961923951e-01, 8.113717283777567e-01, -7.742055350720045e-02
220, 5.605197375532724e-01, -4.312343271196464e-02, 9.795847725005944e-01, 9.223721411119785e-01, 1.227238887453865e-01, 2.873197348498343e+00, 9.725037293563981e-01, 9.927713829951434e-01, 8.057234943914388e-01, -6.456342313234234e-02
221, 5.667169332128789e-01, -4.229371436813953e-02, 9.834942633290922e-01, 9.202365400625996e-01, 1.239088315241164e-01, 2.883148628996060e+00, 9.779277348118756e-01, 9.943400498358027e-01, 8.001987071139232e-01, -5.182742835569750e-02
222, 5.728834238823090e-01, -4.145872674977518e-02, 9.873348395671969e-01, 9.180436168524947e-01, 1.249500572948131e-01, 2.892894839936072e+00, 9.832723269873341e-01, 9.958853750348324e-01, 7.947232091155886e-01, -3.927790225571963e-02
223, 5.790194566742709e-01, -4.061933748197207e-02, 9.910874909798248e-01, 9.158650010071183e-01, 1.258682990876687e-01, 2.902416916841550e+00, 9.884993435144676e-01, 9.973885782144233e-01, 7.893803823050497e-01, -2.700445309836680e-02
224, 5.851252685388688e-01, -3.977631975931969e-02, 9.947000315761263e-01, 9.137292185444038e-01, 1.266850114524217e-01, 2.911583460113656e+00, 9.935365407890855e-01, 9.988303098923228e-01, 7.842419338303013e-01, -1.517671459311195e-02
225, 5.912010914689690e-01, -3.893039486476759e-02, 9.981784003991722e-01, 9.115497393381796e-01, 1.273911836663042e-01, 2.920368599822357e+00, 9.984079543570991e-01, 1.000229972876427e+00, 7.792169821814426e-01, -3.738249372830238e-03
226, 5.972471534297720e-01, -3.808224298628178e-02, 1.001590092242911e+00, 9.093863413408267e-01, 1.279998584193596e-01, 2.928985528665191e+00, 1.003188495773734e+00, 1.001595865956745e+00, 7.742979802826003e-01, 7.486840832474543e-03
227, 6.032636794708319e-01, -3.723251385683963e-02, 1.004950226718835e+00, 9.072511990517916e-01, 1.285207111501830e-01, 2.937488365331666e+00, 1.007898053340996e+00, 1.002933306091970e+00, 7.694800916013012e-01, 1.854525533247870e-02
228, 6.092508920800221e-01, -3.638183035925398e-02, 1.008261393225543e+00, 9.050828110417979e-01, 1.289399475411558e-01, 2.945849405470586e+00, 1.012549341067097e+00, 1.004252813675466e+00, 7.647026654816536e-01, 2.946684762631895e-02
229, 6.152090105239955e-01, -3.553078639121486e-02, 1.011517800160727e+00, 9.029389920497871e-01, 1.292712636091829e-01, 2.954081163399511e+00, 1.017125249999522e+00, 1.005543599764535e+00, 7.600221368520006e-01, 4.021144453724428e-02
230, 6.211382516721683e-01, -3.467995449131790e-02, 1.014684820768837e+00, 9.008137336071022e-01, 1.295201190822048e-01, 2.962080827107201e+00, 1.021581471669749e+00, 1.006796840516138e+00, 7.554612942520124e-01, 5.067500626878309e-02
231, 6.270388298302852e-01, -3.382988657765453e-02, 1.017762782355398e+00, 8.986646788965693e-01, 1.296796228351177e-01, 2.969829944078971e+00, 1.025926641227560e+00, 1.008021376900095e+00, 7.509784775150879e-01, 6.087780883713634e-02
232, 6.329109558909126e-01, -3.298110825505420e-02, 1.020782157037725e+00, 8.965388133369581e-01, 1.297629392082752e-01, 2.977433899987821e+00, 1.030190917282598e+00, 1.009217206805590e+00, 7.465892071434502e-01, 7.089066704845980e-02
233, 6.387548379790710e-01, -3.213412543299173e-02, 1.023751882545872e+00, 8.944151028235706e-01, 1.297691793794609e-01, 2.984912189302673e+00, 1.034391363818078e+00, 1.010392636588611e+00, 7.422649319064275e-01, 8.075364848801950e-02
234, 6.445706823468039e-01, -3.128943174407230e-02, 1.026683160195549e+00, 8.922747555920143e-01, 1.296920312216221e-01, 2.992282932591039e+00, 1.038544107691205e+00, 1.011552685341987e+00, 7.379784637886746e-01, 9.050462029493049e-02
235, 6.503586953586675e-01, -3.044752238603909e-02, 1.029577157757373e+00, 8.901544807628931e-01, 1.295359019795544e-01, 2.999568081637480e+00, 1.042645317064243e+00, 1.012692744014771e+00, 7.337599010224309e-01, 1.001345850104323e-01
236, 6.561190848779663e-01, -2.960890550448089e-02, 1.032408218703633e+00, 8.880385766948761e-01, 1.292990603230038e-01, 3.006686143099483e+00, 1.046664315881193e+00, 1.013808585518101e+00, 7.296148934199630e-01, 1.095715128233131e-01
237, 6.618520581225030e-01, -2.877408734534340e-02, 1.035177829626841e+00, 8.859211606567823e-01, 1.289782614530134e-01, 3.013637776387347e+00, 1.050604094258381e+00, 1.014902043098335e+00, 7.255351705715910e-01, 1.188224247637397e-01
238, 6.675578207994398e-01, -2.794356789743832e-02, 1.037893090526090e+00, 8.838294632045086e-01, 1.285817408118067e-01, 3.020453372274886e+00, 1.054468448924421e+00, 1.015970198231042e+00, 7.215382314771629e-01, 1.278962358514622e-01
239, 6.732365748090277e-01, -2.711782620549527e-02, 1.040552158302491e+00, 8.817407665096024e-01, 1.281088800423736e-01, 3.027121429027565e+00, 1.058260609895440e+00, 1.017018321908858e+00, 7.176039234700929e-01, 1.368005304204010e-01
