"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
231, 6.272276802301298e-01, -3.234353418120780e-02, 9.872900691314299e-01, 8.969010568080794e-01, 1.191260115513717e-01, 2.889970198757055e+00, 9.901558610035978e-01, 1.002902684795249e+00, 7.733990930447177e-01, -2.311481871983244e-02
232, 6.331070483301896e-01, -3.156087931305283e-02, 9.883623690982289e-01, 8.919365710547231e-01, 1.196314810591091e-01, 2.891284651746205e+00, 9.926341818749824e-01, 1.004322111919995e+00, 7.678721620895133e-01, -1.729552485446035e-02
233, 6.389571511047524e-01, -3.077123176827735e-02, 9.941569212824288e-01, 8.932880535397708e-01, 1.214908553488103e-01, 2.907651133732392e+00, 9.995603948740672e-01, 1.005435232080533e+00, 7.643203462962255e-01, -1.032227683696754e-03
234, 6.447781991981342e-01, -2.997524701862462e-02, 9.949149916781161e-01, 8.887355529084278e-01, 1.230421228795161e-01, 2.908763485310428e+00, 1.001684484048552e+00, 1.006804091230969e+00, 7.595787924105621e-01, 3.955302076999084e-03
235, 6.505704055834798e-01, -2.917358541702964e-02, 1.000453817675762e+00, 8.868754289914547e-01, 1.236622124077005e-01, 2.923078767874687e+00, 1.008936178138254e+00, 1.008478512763535e+00, 7.532680903223339e-01, 2.098285464979227e-02
236, 6.563339863723514e-01, -2.836691380247791e-02, 1.000207522229925e+00, 8.817887970158913e-01, 1.241891634934798e-01, 2.920421709618703e+00, 1.009606702808979e+00, 1.009397230444837e+00, 7.489354765580730e-01, 2.255729972992108e-02
237, 6.620691598895977e-01, -2.755589980578865e-02, 1.005490230067694e+00, 8.828672879252178e-01, 1.255578239109806e-01, 2.935218621514404e+00, 1.015911985243944e+00, 1.010364849766415e+00, 7.456971788143344e-01, 3.736260271424759e-02
238, 6.677761468461302e-01, -2.674121885275854e-02, 1.006180642088463e+00, 8.788451620340031e-01, 1.268006970441649e-01, 2.936458337226111e+00, 1.017862523016161e+00, 1.011610122913367e+00, 7.415488378433752e-01, 4.194262002479722e-02
239, 6.734551704735430e-01, -2.592354559247780e-02, 1.011618226307711e+00, 8.768571778620587e-01, 1.265905422455796e-01, 2.950699717636780e+00, 1.025102043211575e+00, 1.013328958052761e+00, 7.352792182223514e-01, 5.894158732876616e-02
240, 6.791064552031089e-01, -2.510356092715636e-02, 1.010664931414518e+00, 8.704950226633386e-01, 1.270379746454690e-01, 2.945987680660034e+00, 1.025248325517686e+00, 1.014429504428096e+00, 7.303992823716744e-01, 5.928506977948160e-02
241, 6.847302275976189e-01, -2.428194625885694e-02, 1.016038872543971e+00, 8.711711389723011e-01, 1.277843601137285e-01, 2.960930771334135e+00, 1.031766337046196e+00, 1.015479195656015e+00, 7.268019287983184e-01, 7.458987753873343e-02
242, 6.903267150532559e-01, -2.345938574457934e-02, 1.018037375623663e+00, 8.682923398752721e-01, 1.286062061407471e-01, 2.966092743050178e+00, 1.035073078139339e+00, 1.016733867462616e+00, 7.226812769532533e-01, 8.235436775462365e-02
243, 6.958961463252493e-01, -2.263656647380653e-02, 1.021674858178327e+00, 8.653714726900340e-01, 1.279260051456370e-01, 2.974724463560197e+00, 1.040090102596869e+00, 1.018024564538445e+00, 7.172011039842003e-01, 9.413473888623308e-02
244, 7.014387505995698e-01, -2.181417469375754e-02, 1.020814925959053e+00, 8.598323916212739e-01, 1.282076390024320e-01, 2.970353927667658e+00, 1.040073802628095e+00, 1.018866178559201e+00, 7.130486650107480e-01, 9.409646526743370e-02
245, 7.069547577126585e-01, -2.099290157046805e-02, 1.025357377473079e+00, 8.599826020154256e-01, 1.285558997786785e-01, 2.982836354240993e+00, 1.045654899622630e+00, 1.019795558695421e+00, 7.097294612597307e-01, 1.072013234306153e-01
246, 7.124439656418902e-01, -2.017349945713531e-02, 1.029138111735843e+00, 8.567593525886362e-01, 1.285333283517074e-01, 2.992354573921745e+00, 1.051080473121738e+00, 1.021321104656093e+00, 7.040007541716542e-01, 1.199410000980036e-01
247, 7.179070190304766e-01, -1.935659993762165e-02, 1.033167294576628e+00, 8.540931276850091e-01, 1.275209711892453e-01, 3.002485621093416e+00, 1.056634922940638e+00, 1.022714257881756e+00, 6.985233468468393e-01, 1.329832885804399e-01
248, 7.233441687543966e-01, -1.854288882894542e-02, 1.033411507266029e+00, 8.485197586508724e-01, 1.275226405583107e-01, 3.001477428721341e+00, 1.058102175979823e+00, 1.023892388017930e+00, 6.935017131102222e-01, 1.364285150272928e-01
249, 7.287556431456496e-01, -1.773305991744245e-02, 1.037708004552846e+00, 8.479994821186744e-01, 1.272590042166418e-01, 3.013102455665919e+00, 1.063525206228850e+00, 1.024879061896731e+00, 6.898524170576167e-01, 1.491622199418846e-01
250, 7.341416688975435e-01, -1.692780345675622e-02, 1.041807360499126e+00, 8.453522564430663e-01, 1.266615839720461e-01, 3.023949106637638e+00, 1.069311178055682e+00, 1.026400099096419e+00, 6.844613862629816e-01, 1.627481404519621e-01
251, 7.395024718197271e-01, -1.612781252314327e-02, 1.044156888401488e+00, 8.421496973906749e-01, 1.255638740325059e-01, 3.029075140076205e+00, 1.072765406985808e+00, 1.027398678208326e+00, 6.799303927715327e-01, 1.708589438006196e-01
252, 7.448382757921506e-01, -1.533377788758831e-02, 1.045312934878070e+00, 8.375727391717995e-01, 1.248835992273471e-01, 3.030919430612328e+00, 1.075160246568732e+00, 1.028553470156900e+00, 6.751081509731282e-01, 1.764822169830285e-01
253, 7.501493027236223e-01, -1.454639109148041e-02, 1.049269847727085e+00, 8.368296583964779e-01, 1.244272152144748e-01, 3.041681628660480e+00, 1.080241396795342e+00, 1.029517239188134e+00, 6.716105548271668e-01, 1.884131605037619e-01
254, 7.554357721098133e-01, -1.376634276900710e-02, 1.054105226160343e+00, 8.327341551372311e-01, 1.229700556974655e-01, 3.053641620389597e+00, 1.087016975503542e+00, 1.031222451541278e+00, 6.646094992136758e-01, 2.043227564185741e-01
255, 7.606979010008312e-01, -1.299432228836589e-02, 1.057918730313971e+00, 8.303947995401779e-01, 1.216793002484053e-01, 3.063458023356721e+00, 1.092223382405269e+00, 1.032426547624425e+00, 6.598600878215481e-01, 2.165478125417223e-01
256, 7.659359032587721e-01, -1.223101938590299e-02, 1.060023786128296e+00, 8.263463617467559e-01, 1.204906968901224e-01, 3.068237006666768e+00, 1.095719204697103e+00, 1.033674167538433e+00, 6.548759232650402e-01, 2.247562804008250e-01
